iter	Passed	Remaining
415	2478	6457
416	2482	6447
417	2486	6437
418	2490	6426
419	2495	6416
420	2499	6405
421	2503	6394
422	2508	6386
423	2512	6377
424	2517	6366
425	2522	6359
426	2527	6351
427	2531	6341
428	2536	6333
429	2543	6328
430	2547	6319
431	2551	6309
432	2556	6300
433	2561	6290
434	2565	6281
435	2570	6273
436	2575	6264
437	2580	6255
438	2584	6247
439	2590	6240
440	2595	6233
441	2601	6227
442	2607	6222
443	2612	6213
444	2618	6208
445	2624	6202
446	2630	6197
447	2636	6191
448	2642	6185
449	2648	6179
450	2654	6173
451	2659	6166
452	2667	6165
453	2675	6163
454	2682	6161
455	2689	6158
456	2695	6152
457	2703	6151
458	2720	6170
459	2727	6166
460	2733	6161
461	2738	6153
462	2744	6146
463	2749	6139
464	2755	6132
465	2760	6124
466	2765	6117
467	2770	6110
468	2775	6101
469	2780	6093
470	2785	6085
471	2790	6078
472	2795	6069
473	2800	6061
474	2805	6053
475	2810	6046
476	2815	6037
477	2820	6029
478	2825	6022
479	2830	6015
480	2836	6008
481	2840	5999
482	2846	5992
483	2851	5986
484	2857	5980
485	2862	5972
486	2867	5965
487	2873	5958
488	2879	5952
489	2884	5946
490	2890	5939
491	2895	5932
492	2901	5925
493	2906	5919
494	2911	5911
495	2916	5904
496	2922	5896
497	2927	5890
498	2933	5885
499	2939	5878
500	2944	5872
501	2950	5864
502	2955	5857
503	2961	5851
504	2966	5844
505	2970	5836
506	2975	5827
507	2982	5824
508	2989	5821
509	2995	5815
510	3001	5810
511	3008	5805
512	3014	5798
513	3019	5791
514	3024	5785
515	3030	5778
516	3036	5773
517	3043	5768
518	3048	5762
519	3054	5757
520	3060	5751
521	3065	5743
522	3070	5735
523	3075	5729
524	3081	5723
525	3087	5717
526	3093	5711
527	3098	5704
528	3104	5698
529	3109	5691
530	3116	5686
531	3122	5680
532	3127	5674
533	3133	5667
534	3139	5662
535	3144	5655
536	3150	5649
537	3155	5643
538	3160	5635
539	3165	5627
540	3170	5621
541	3177	5616
542	3185	5613
543	3191	5608
544	3197	5603
545	3203	5597
546	3208	5590
547	3214	5583
548	3219	5577
549	3226	5572
550	3232	5567
551	3238	5562
552	3244	5555
553	3250	5550
554	3255	5543
555	3261	5536
556	3266	5529
557	3272	5523
558	3276	5516
559	3281	5508
560	3286	5500
561	3291	5493
562	3296	5486
563	3300	5478
564	3305	5470
565	3310	5462
566	3314	5454
567	3319	5446
568	3325	5440
569	3331	5434
570	3335	5427
571	3340	5419
572	3345	5411
573	3350	5404
574	3354	5396
575	3359	5388
576	3364	5381
577	3368	5373
578	3372	5365
579	3377	5357
580	3381	5348
581	3386	5341
582	3391	5333
583	3395	5325
584	3399	5317
585	3404	5309
586	3409	5302
587	3413	5294
588	3419	5288
589	3426	5284
590	3435	5283
591	3442	5279
592	3448	5274
593	3455	5271
594	3462	5266
595	3468	5261
596	3474	5256
597	3481	5251
598	3487	5245
599	3492	5239
600	3497	5231
601	3501	5223
602	3507	5217
603	3511	5209
604	3516	5201
605	3521	5195
606	3527	5189
607	3532	5182
608	3537	5175
609	3542	5168
610	3547	5161
611	3551	5153
612	3556	5145
613	3561	5139
614	3565	5131
615	3570	5123
616	3575	5116
617	3579	5108
618	3583	5100
619	3588	5092
620	3592	5084
621	3596	5076
622	3600	5069
623	3605	5061
624	3609	5053
625	3614	5045
626	3618	5037
627	3624	5032
628	3629	5025
629	3634	5019
630	3638	5011
631	3643	5003
632	3648	4997
633	3653	4990
634	3658	4983
635	3664	4977
636	3669	4971
637	3673	4963
638	3678	4956
639	3683	4949
640	3687	4941
641	3692	4934
642	3697	4927
643	3701	4920
644	3705	4912
645	3710	4905
646	3717	4900
647	3722	4894
648	3728	4889
649	3733	4882
650	3738	4875
651	3743	4869
652	3748	4861
653	3753	4854
654	3758	4848
655	3763	4841
656	3768	4835
657	3772	4827
658	3778	4822
659	3782	4814
660	3787	4807
661	3792	4800
662	3797	4794
663	3802	4787
664	3807	4781
665	3813	4775
666	3818	4769
667	3823	4762
668	3828	4755
669	3833	4749
670	3838	4742
671	3842	4734
672	3847	4727
673	3853	4721
674	3857	4714
675	3862	4707
676	3866	4700
677	3871	4693
678	3876	4687
679	3881	4680
680	3886	4674
681	3892	4668
682	3897	4661
683	3901	4654
684	3906	4648
685	3911	4641
686	3916	4634
687	3923	4630
688	3928	4624
689	3933	4618
690	3939	4612
691	3944	4605
692	3950	4600
693	3955	4594
694	3960	4587
695	3966	4582
696	3972	4576
697	3977	4570
698	3983	4565
699	3989	4559
700	3995	4554
701	4002	4549
702	4009	4545
703	4016	4541
704	4023	4536
705	4031	4534
706	4039	4530
707	4045	4525
708	4051	4520
709	4058	4515
710	4065	4511
711	4071	4505
712	4077	4500
713	4083	4495
714	4089	4490
715	4096	4485
716	4102	4480
717	4107	4474
718	4112	4467
719	4118	4461
720	4123	4455
721	4129	4450
722	4136	4445
723	4141	4439
724	4146	4432
725	4151	4425
726	4157	4420
727	4163	4415
728	4168	4409
729	4173	4402
730	4178	4395
731	4184	4390
732	4190	4385
733	4198	4381
734	4206	4377
735	4212	4373
736	4218	4367
737	4279	4418
738	4288	4415
739	4297	4413
740	4302	4407
741	4308	4401
742	4313	4395
743	4320	4390
744	4327	4385
745	4332	4379
746	4338	4373
747	4344	4367
748	4349	4360
749	4354	4354
750	4360	4349
751	4366	4343
752	4371	4336
753	4377	4330
754	4382	4324
755	4387	4317
756	4392	4311
757	4397	4305
758	4403	4298
759	4408	4292
760	4414	4286
761	4420	4280
762	4425	4274
763	4429	4267
764	4435	4261
765	4441	4255
766	4446	4249
767	4450	4242
768	4456	4235
769	4461	4229
770	4466	4222
771	4470	4216
772	4476	4209
773	4481	4203
774	4486	4197
775	4491	4190
776	4496	4184
777	4502	4178
778	4507	4171
779	4513	4166
780	4518	4159
781	4529	4158
782	4534	4152
783	4541	4147
784	4548	4142
785	4554	4136
786	4559	4130
787	4564	4123
788	4569	4117
789	4574	4111
790	4579	4104
791	4584	4098
792	4590	4092
793	4597	4087
794	4603	4082
795	4608	4075
796	4615	4070
797	4621	4065
798	4626	4059
799	4633	4054
800	4640	4049
801	4647	4044
802	4653	4038
803	4659	4033
804	4666	4029
805	4673	4023
806	4680	4018
807	4686	4013
808	4694	4009
809	4700	4004
810	4708	4000
811	4716	3996
812	4722	3990
813	4729	3985
814	4735	3980
815	4744	3977
816	4750	3971
817	4755	3965
818	4760	3958
819	4766	3952
820	4773	3947
821	4778	3941
822	4784	3936
823	4790	3930
824	4797	3925
825	4803	3919
826	4809	3913
827	4816	3908
828	4823	3903
829	4829	3898
830	4835	3892
831	4840	3886
832	4845	3880
833	4850	3873
834	4855	3866
835	4860	3860
836	4865	3853
837	4869	3846
838	4879	3844
839	4883	3837
840	4888	3830
841	4893	3823
842	4897	3817
843	4902	3810
844	4907	3803
845	4911	3796
846	4916	3790
847	4920	3783
848	4925	3776
849	4930	3770
850	4935	3764
851	4940	3757
852	4944	3750
853	4949	3744
854	4954	3737
855	4958	3730
856	4963	3723
857	4967	3717
858	4972	3710
859	4976	3703
860	4981	3697
861	4985	3690
862	4990	3683
863	4995	3677
864	4999	3670
865	5004	3663
866	5008	3656
867	5012	3649
868	5017	3643
869	5021	3636
870	5025	3629
871	5030	3622
872	5034	3615
873	5038	3608
874	5043	3602
875	5047	3595
876	5052	3589
877	5058	3583
878	5063	3576
879	5067	3570
880	5072	3563
881	5077	3557
882	5082	3551
883	5086	3544
884	5091	3537
885	5095	3531
886	5100	3524
887	5104	3518
888	5108	3511
889	5113	3504
890	5117	3498
891	5122	3491
892	5126	3484
893	5131	3478
894	5135	3471
895	5140	3465
896	5146	3459
897	5153	3454
898	5160	3450
899	5172	3448
900	5178	3442
901	5190	3441
902	5196	3435
903	5202	3430
904	5208	3424
905	5213	3418
906	5218	3412
907	5223	3405
908	5227	3398
909	5232	3392
910	5237	3386
911	5242	3379
912	5247	3373
913	5253	3368
914	5258	3361
915	5262	3355
916	5268	3349
917	5273	3343
918	5277	3336
919	5282	3330
920	5287	3324
921	5292	3318
922	5297	3311
923	5302	3305
924	5307	3299
925	5312	3292
926	5316	3286
927	5321	3279
928	5325	3273
929	5330	3266
930	5335	3260
931	5340	3254
932	5346	3249
933	5351	3242
934	5356	3236
935	5362	3231
936	5367	3225
937	5372	3219
938	5377	3212
939	5382	3206
940	5387	3200
941	5391	3193
942	5396	3187
943	5400	3181
944	5405	3174
945	5409	3168
946	5414	3161
947	5418	3155
948	5422	3148
949	5427	3142
950	5431	3135
951	5435	3129
952	5439	3122
953	5443	3115
954	5448	3109
955	5452	3102
956	5457	3096
957	5463	3091
958	5469	3085
959	5474	3079
960	5478	3072
961	5483	3066
962	5487	3060
963	5491	3053
964	5496	3047
965	5500	3040
966	5505	3034
967	5510	3028
968	5514	3021
969	5518	3015
970	5522	3008
971	5526	3002
972	5531	2995
973	5535	2989
974	5539	2982
975	5544	2976
976	5548	2970
977	5552	2963
978	5557	2957
979	5562	2951
980	5567	2945
981	5572	2939
982	5577	2933
983	5581	2927
984	5586	2920
985	5590	2914
986	5595	2908
987	5599	2901
988	5604	2895
989	5608	2889
990	5613	2883
991	5617	2876
992	5621	2870
993	5626	2864
994	5630	2857
995	5634	2851
996	5639	2845
997	5643	2838
998	5647	2832
999	5652	2826
1000	5657	2820
1001	5661	2813
1002	5666	2807
1003	5671	2801
1004	5675	2795
1005	5680	2789
1006	5686	2783
1007	5690	2777
1008	5695	2771
1009	5699	2765
1010	5703	2758
1011	5708	2752
1012	5712	2746
1013	5716	2739
1014	5720	2733
1015	5725	2727
1016	5729	2720
1017	5733	2714
1018	5737	2708
1019	5741	2701
1020	5746	2695
1021	5750	2689
1022	5765	2688
1023	5769	2681
1024	5775	2676
1025	5780	2670
1026	5784	2664
1027	5789	2658
1028	5794	2652
1029	5798	2646
1030	5803	2639
1031	5808	2633
1032	5812	2627
1033	5817	2621
1034	5821	2615
1035	5826	2609
1036	5831	2603
1037	5835	2597
1038	5839	2590
1039	5843	2584
1040	5848	2578
1041	5852	2572
1042	5856	2566
1043	5861	2560
1044	5866	2554
1045	5870	2548
1046	5875	2542
1047	5880	2536
1048	5884	2529
1049	5888	2523
1050	5892	2517
1051	5897	2511
1052	5901	2505
1053	5905	2499
1054	5910	2492
1055	5914	2486
1056	5918	2480
1057	5923	2474
1058	5927	2468
1059	5931	2462
1060	5936	2456
1061	5940	2449
1062	5944	2443
1063	5948	2437
1064	5952	2431
1065	5957	2425
1066	5961	2419
1067	5965	2413
1068	5970	2407
1069	5974	2401
1070	5978	2394
1071	5984	2389
1072	5988	2383
1073	5993	2377
1074	5997	2371
1075	6002	2365
1076	6006	2358
1077	6010	2353
1078	6014	2346
1079	6019	2340
1080	6023	2334
1081	6027	2328
1082	6032	2322
1083	6036	2316
1084	6040	2310
1085	6044	2304
1086	6048	2298
1087	6053	2292
1088	6058	2286
1089	6062	2280
1090	6066	2274
1091	6071	2268
1092	6076	2262
1093	6080	2256
1094	6085	2250
1095	6089	2244
1096	6093	2238
1097	6098	2232
1098	6102	2226
1099	6106	2220
1100	6111	2214
1101	6115	2208
1102	6119	2202
1103	6123	2196
1104	6128	2190
1105	6132	2184
1106	6136	2178
1107	6141	2172
1108	6146	2167
1109	6150	2161
1110	6154	2155
1111	6159	2149
1112	6164	2143
1113	6168	2137
1114	6173	2131
1115	6178	2125
1116	6182	2119
1117	6187	2114
1118	6191	2108
1119	6195	2102
1120	6199	2096
1121	6203	2090
1122	6208	2084
1123	6213	2078
1124	6217	2072
1125	6221	2066
1126	6225	2060
1127	6229	2054
1128	6233	2048
1129	6238	2042
1130	6242	2036
1131	6246	2030
1132	6250	2024
1133	6255	2018
1134	6259	2012
1135	6263	2006
1136	6268	2001
1137	6272	1995
1138	6276	1989
1139	6282	1983
1140	6286	1977
1141	6290	1972
1142	6295	1966
1143	6299	1960
1144	6303	1954
1145	6308	1948
1146	6313	1942
1147	6317	1936
1148	6321	1931
1149	6325	1925
1150	6330	1919
1151	6334	1913
1152	6338	1907
1153	6343	1901
1154	6347	1895
1155	6351	1890
1156	6355	1884
1157	6360	1878
1158	6365	1872
1159	6372	1867
1160	6377	1862
1161	6383	1856
1162	6388	1851
1163	6393	1845
1164	6398	1839
1165	6404	1834
1166	6411	1829
1167	6418	1824
1168	6424	1819
1169	6429	1813
1170	6435	1808
1171	6440	1802
1172	6447	1797
1173	6452	1791
1174	6458	1786
1175	6465	1781
1176	6471	1775
1177	6477	1770
1178	6483	1765
1179	6488	1759
1180	6494	1754
1181	6501	1749
1182	6506	1743
1183	6512	1738
1184	6519	1733
1185	6526	1727
1186	6534	1722
1187	6544	1718
1188	6557	1715
1189	6566	1710
1190	6575	1705
1191	6582	1700
1192	6588	1695
1193	6594	1690
1194	6602	1685
1195	6611	1680
1196	6618	1675
1197	6625	1670
1198	6632	1665
1199	6640	1660
1200	6654	1656
1201	6664	1652
1202	6671	1647
1203	6678	1641
1204	6687	1637
1205	6696	1632
1206	6702	1627
1207	6708	1621
1208	6713	1615
1209	6720	1610
1210	6728	1605
1211	6734	1600
1212	6743	1595
1213	6748	1589
1214	6754	1584
1215	6758	1578
1216	6763	1572
1217	6767	1566
1218	6772	1561
1219	6776	1555
1220	6782	1549
1221	6786	1543
1222	6790	1538
1223	6795	1532
1224	6800	1526
1225	6804	1520
1226	6809	1515
1227	6813	1509
1228	6818	1503
1229	6823	1497
1230	6828	1492
1231	6832	1486
1232	6838	1480
1233	6844	1475
1234	6850	1469
1235	6856	1464
1236	6862	1459
1237	6868	1453
1238	6873	1447
1239	6879	1442
1240	6884	1436
1241	6889	1431
1242	6895	1425
1243	6899	1419
1244	6904	1414
1245	6910	1408
1246	6915	1403
1247	6921	1397
1248	6926	1392
1249	6932	1386
1250	6939	1381
1251	6945	1375
1252	6950	1370
1253	6956	1364
1254	6961	1359
1255	6967	1353
1256	6974	1348
1257	6982	1343
1258	6987	1337
1259	6996	1332
1260	7001	1327
1261	7006	1321
1262	7011	1315
1263	7017	1310
1264	7022	1304
1265	7027	1298
1266	7031	1293
1267	7037	1287
1268	7043	1282
1269	7048	1276
1270	7052	1270
1271	7057	1265
1272	7062	1259
1273	7067	1253
1274	7072	1248
1275	7077	1242
1276	7084	1237
1277	7130	1238
1278	7171	1239
1279	7178	1233
1280	7185	1228
1281	7191	1222
1282	7198	1217
1283	7205	1212
1284	7211	1206
1285	7219	1201
1286	7225	1195
1287	7232	1190
1288	7238	1184
1289	7243	1179
1290	7248	1173
1291	7254	1167
1292	7258	1162
1293	7263	1156
1294	7269	1150
1295	7274	1145
1296	7280	1139
1297	7285	1133
1298	7290	1128
1299	7294	1122
1300	7299	1116
1301	7304	1110
1302	7309	1105
1303	7313	1099
1304	7318	1093
1305	7323	1087
1306	7328	1082
1307	7333	1076
1308	7337	1070
1309	7342	1064
1310	7346	1059
1311	7351	1053
1312	7355	1047
1313	7359	1041
1314	7364	1036
1315	7368	1030
1316	7372	1024
1317	7377	1018
1318	7381	1012
1319	7385	1007
1320	7390	1001
1321	7394	995
1322	7398	989
1323	7403	984
1324	7408	978
1325	7412	972
1326	7418	967
1327	7426	961
1328	7431	956
1329	7436	950
1330	7441	944
1331	7445	939
1332	7451	933
1333	7455	927
1334	7460	922
1335	7464	916
1336	7469	910
1337	7473	904
1338	7478	899
1339	7482	893
1340	7487	887
1341	7491	882
1342	7496	876
1343	7500	870
1344	7504	864
1345	7510	859
1346	7514	853
1347	7521	848
1348	7526	842
1349	7532	836
1350	7536	831
1351	7541	825
1352	7546	819
1353	7551	814
1354	7555	808
1355	7560	802
1356	7564	797
1357	7568	791
1358	7572	785
1359	7576	779
1360	7581	774
1361	7585	768
1362	7590	762
1363	7594	757
1364	7599	751
1365	7603	745
1366	7607	740
1367	7614	734
1368	7620	729
1369	7626	723
1370	7631	718
1371	7635	712
1372	7640	706
1373	7645	701
1374	7650	695
1375	7655	689
1376	7660	684
1377	7666	678
1378	7671	673
1379	7677	667
1380	7682	662
1381	7688	656
1382	7694	650
1383	7699	645
1384	7707	639
1385	7712	634
1386	7720	629
1387	7727	623
1388	7732	617
1389	7737	612
1390	7742	606
1391	7748	601
1392	7753	595
1393	7757	589
1394	7763	584
1395	7768	578
1396	7774	573
1397	7778	567
1398	7783	561
1399	7787	556
1400	7792	550
1401	7796	545
1402	7801	539
1403	7805	533
1404	7810	528
1405	7816	522
1406	7821	516
1407	7827	511
1408	7831	505
1409	7837	500
1410	7843	494
1411	7847	489
1412	7853	483
1413	7857	477
1414	7861	472
1415	7866	466
1416	7870	461
1417	7875	455
1418	7879	449
1419	7883	444
1420	7887	438
1421	7892	432
1422	7897	427
1423	7901	421
1424	7906	416
1425	7911	410
1426	7916	404
1427	7921	399
1428	7926	393
1429	7931	388
1430	7935	382
1431	7940	377
1432	7944	371
1433	7948	365
1434	7952	360
1435	7957	354
1436	7961	349
1437	7965	343
1438	7970	337
1439	7973	332
1440	7978	326
1441	7982	321
1442	7986	315
1443	7990	309
1444	7994	304
1445	7998	298
1446	8002	293
1447	8006	287
1448	8016	282
1449	8021	276
1450	8026	271
1451	8030	265
1452	8035	259
1453	8040	254
1454	8044	248
1455	8048	243
1456	8053	237
1457	8057	232
1458	8062	226
1459	8066	221
1460	8070	215
1461	8074	209
1462	8079	204
1463	8083	198
1464	8088	193
1465	8093	187
1466	8098	182
1467	8103	176
1468	8109	171
1469	8116	165
1470	8122	160
1471	8128	154
1472	8134	149
1473	8139	143
1474	8144	138
1475	8149	132
1476	8157	127
1477	8164	121
1478	8171	116
1479	8176	110
1480	8181	104
1481	8186	99
1482	8191	93
1483	8196	88
1484	8201	82
1485	8206	77
1486	8211	71
1487	8216	66
1488	8221	60
1489	8225	55
1490	8230	49
1491	8235	44
1492	8239	38
1493	8243	33
1494	8248	27
1495	8252	22
1496	8257	16
1497	8261	11
1498	8265	5
1499	8269	0
